app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
rodinia-kmeans-1-tiling,xczu7ev-ffvc1156-2-e,5,8120.32291,41,0,0,0,36.413989305496216
rodinia-kmeans-1-tiling,xczu7ev-ffvc1156-2-e,3.33,7555.02125616,41,0,0,0,36.459940671920776
rodinia_cfd_step_factor_4_doublebuffer_0,xcu200-fsgd2104-2-e,10,0.00025,1,0,0,0,33.619354248046875
rodinia_cfd_step_factor_4_doublebuffer_0,xcu200-fsgd2104-2-e,5,0.000125,1,0,0,0,34.772522926330566
rodinia_cfd_step_factor_4_doublebuffer_0,xcu200-fsgd2104-2-e,3.33,8.325e-05,1,0,0,0,34.67038679122925
rodinia_cfd_step_factor_4_doublebuffer_0,xczu7ev-ffvc1156-2-e,10,0.00025,11,0,0,2,33.835529804229736
rodinia_cfd_step_factor_4_doublebuffer_0,xczu7ev-ffvc1156-2-e,5,0.000125,11,0,0,2,33.651278257369995
rodinia_cfd_step_factor_4_doublebuffer_0,xczu7ev-ffvc1156-2-e,3.33,8.325e-05,11,0,0,2,33.61609935760498
rodinia_cfd_step_factor_2_pipeline_0,xcu200-fsgd2104-2-e,10,0.67588,0,0,0,0,25.230250358581543
rodinia_cfd_step_factor_2_pipeline_0,xcu200-fsgd2104-2-e,5,0.51714,0,0,0,0,27.725690364837646
rodinia_cfd_step_factor_2_pipeline_0,xcu200-fsgd2104-2-e,3.33,0.41943347999999997,0,0,0,0,29.000439405441284
rodinia_cfd_step_factor_2_pipeline_0,xczu7ev-ffvc1156-2-e,10,0.89092,2,0,0,0,29.420578718185425
rodinia_cfd_step_factor_2_pipeline_0,xczu7ev-ffvc1156-2-e,5,0.7373,2,0,0,0,29.44132089614868
rodinia_cfd_step_factor_2_pipeline_0,xczu7ev-ffvc1156-2-e,3.33,0.780885,2,0,0,0,29.589990377426147
rodinia_streamcluster_4_coalescing_0,xcu200-fsgd2104-2-e,10,0.01047,1,0,0,0,53.56794500350952
rodinia_streamcluster_4_coalescing_0,xcu200-fsgd2104-2-e,5,0.005235,1,0,0,0,51.89261770248413
rodinia_streamcluster_4_coalescing_0,xcu200-fsgd2104-2-e,3.33,0.0034865100000000004,1,0,0,0,51.75227355957031
rodinia_streamcluster_4_coalescing_0,xczu7ev-ffvc1156-2-e,10,0.01047,32,0,1,3,51.86297821998596
rodinia_streamcluster_4_coalescing_0,xczu7ev-ffvc1156-2-e,5,0.005235,32,0,1,3,51.72539305686951
rodinia_streamcluster_4_coalescing_0,xczu7ev-ffvc1156-2-e,3.33,0.0034865100000000004,32,0,1,3,51.67752194404602
rodinia-kmeans-3-unroll,xcu200-fsgd2104-2-e,10,7168.00582,0,0,0,0,36.17957305908203
rodinia-kmeans-3-unroll,xcu200-fsgd2104-2-e,5,5683.20291,0,0,0,0,36.27018761634827
rodinia-kmeans-3-unroll,xcu200-fsgd2104-2-e,3.33,4990.7614161599995,0,0,0,0,37.06320858001709
rodinia-kmeans-3-unroll,xczu7ev-ffvc1156-2-e,10,9277.44582,41,0,0,0,36.83724069595337
rodinia-kmeans-3-unroll,xczu7ev-ffvc1156-2-e,5,8120.32291,41,0,0,0,36.83891797065735
rodinia-kmeans-3-unroll,xczu7ev-ffvc1156-2-e,3.33,7555.02125616,41,0,0,0,36.347118616104126
rodinia_cfd_flux_0_baseline_0,xcu200-fsgd2104-2-e,10,1.07522,0,0,0,0,33.817468881607056
rodinia_cfd_flux_0_baseline_0,xcu200-fsgd2104-2-e,5,0.84993,0,0,0,0,36.06214475631714
rodinia_cfd_flux_0_baseline_0,xcu200-fsgd2104-2-e,3.33,0.73313946,0,0,0,0,35.78351068496704
rodinia_cfd_flux_0_baseline_0,xczu7ev-ffvc1156-2-e,10,1.47458,0,3,1,3,35.609992265701294
rodinia_cfd_flux_0_baseline_0,xczu7ev-ffvc1156-2-e,5,1.34145,0,3,2,4,35.49181890487671
rodinia_cfd_flux_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,1.36056474,0,3,2,4,41.36618661880493
rodinia-backprop-0-baseline-forward,xcu200-fsgd2104-2-e,10,65.46375,0,0,0,0,34.71932625770569
rodinia-backprop-0-baseline-forward,xcu200-fsgd2104-2-e,5,53.868675,0,0,0,0,33.916950702667236
rodinia-backprop-0-baseline-forward,xcu200-fsgd2104-2-e,3.33,53.92471464,0,0,0,0,34.06202530860901
rodinia-backprop-0-baseline-forward,xczu7ev-ffvc1156-2-e,10,97.16951,23,0,0,1,33.181331634521484
rodinia-backprop-0-baseline-forward,xczu7ev-ffvc1156-2-e,5,85.575475,23,0,0,1,34.84069538116455
rodinia-backprop-0-baseline-forward,xczu7ev-ffvc1156-2-e,3.33,78.56021448,23,0,0,1,34.7662296295166
rodinia_cfd_step_factor_1_tiling_0,xcu200-fsgd2104-2-e,10,0.6554,0,0,0,0,27.274117469787598
rodinia_cfd_step_factor_1_tiling_0,xcu200-fsgd2104-2-e,5,0.49666,0,0,0,0,29.0920352935791
rodinia_cfd_step_factor_1_tiling_0,xcu200-fsgd2104-2-e,3.33,0.4057938,0,0,0,0,28.9327871799469
rodinia_cfd_step_factor_1_tiling_0,xczu7ev-ffvc1156-2-e,10,0.8602,2,0,0,0,28.895509004592896
rodinia_cfd_step_factor_1_tiling_0,xczu7ev-ffvc1156-2-e,5,0.7117,2,0,0,0,28.729408264160156
rodinia_cfd_step_factor_1_tiling_0,xczu7ev-ffvc1156-2-e,3.33,0.75701556,2,0,0,0,29.50010633468628
rodinia_dilate_3_pipeline_0,xcu200-fsgd2104-2-e,10,839.02821,1,0,0,0,43.797001123428345
rodinia_dilate_3_pipeline_0,xcu200-fsgd2104-2-e,5,419.514105,1,0,0,0,45.14817976951599
rodinia_dilate_3_pipeline_0,xcu200-fsgd2104-2-e,3.33,309.30141897000004,1,0,0,0,45.0850830078125
rodinia_dilate_3_pipeline_0,xczu7ev-ffvc1156-2-e,10,839.02821,15,0,0,0,44.85675668716431
rodinia_dilate_3_pipeline_0,xczu7ev-ffvc1156-2-e,5,419.514105,15,0,0,0,44.66262674331665
rodinia_dilate_3_pipeline_0,xczu7ev-ffvc1156-2-e,3.33,444.64370121,15,0,0,0,44.7564058303833
rodinia_lc_mgvf_0_baseline_0,xcu200-fsgd2104-2-e,10,36240.09921,0,0,0,0,32.91241145133972
rodinia_lc_mgvf_0_baseline_0,xcu200-fsgd2104-2-e,5,27850.834885,0,0,0,0,34.34293246269226
